City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Majene,ID,-3.5403,118.9707,75.36,91,100,5.26,overcast clouds
81,Codrington,AU,-38.2667,141.9667,46.99,65,100,14.61,overcast clouds
82,Kapaa,US,22.0752,-159.319,79.12,72,28,5.99,scattered clouds
83,Pangnirtung,CA,66.1451,-65.7125,37.4,60,20,2.3,few clouds
84,Berlevag,NO,70.8578,29.0864,49.95,66,40,6.91,scattered clouds
85,Lompoc,US,34.6391,-120.4579,91.09,87,90,0.0,mist
86,Avarua,CK,-21.2078,-159.775,73.45,64,100,9.22,overcast clouds
87,Hervey Bay,AU,-25.2986,152.8535,64.02,79,0,11.7,clear sky
88,Huarmey,PE,-10.0681,-78.1522,68.86,72,27,9.89,scattered clouds
89,Cape Town,ZA,-33.9258,18.4232,59.41,77,0,1.01,clear sky
90,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,12.66,broken clouds
91,Mandalgovi,MN,45.7625,106.2708,57.11,67,100,13.8,overcast clouds
92,Kerrville,US,30.0474,-99.1403,84.45,34,1,1.99,clear sky
93,Butaritari,KI,3.0707,172.7902,83.48,74,20,14.36,few clouds
94,Nemuro,JP,43.3236,145.575,52.3,82,2,11.36,clear sky
95,Jamestown,US,42.097,-79.2353,67.17,50,4,13.0,clear sky
96,Saint-Philippe,RE,-21.3585,55.7679,71.19,79,47,12.75,scattered clouds
97,Rocha,UY,-34.4833,-54.3333,60.19,79,45,12.08,scattered clouds
98,Katsuura,JP,35.1333,140.3,74.1,74,100,14.54,overcast clouds
99,Katsina,NG,12.9894,7.6006,84.45,38,45,3.6,scattered clouds
100,Pulaski,US,34.7668,-92.3001,83.32,37,93,1.01,overcast clouds
101,Goundam,ML,16.4145,-3.6708,93.88,33,72,14.56,broken clouds
102,Mizdah,LY,31.4451,12.9801,80.92,40,12,6.53,few clouds
103,Aklavik,CA,68.2191,-135.0107,31.03,87,100,15.93,overcast clouds
104,Puerto Ayora,EC,-0.7393,-90.3518,75.16,76,60,9.53,broken clouds
105,Calbuco,CL,-41.768,-73.1273,70.81,76,36,5.53,scattered clouds
106,Tasiilaq,GL,65.6145,-37.6368,33.3,85,89,5.03,overcast clouds
107,Kawalu,ID,-7.3817,108.2082,71.4,97,89,1.66,overcast clouds
108,Ponta Do Sol,PT,32.6667,-17.1,74.03,74,36,3.51,scattered clouds
109,Condado,CU,21.8767,-79.8403,88.63,59,59,4.21,light rain
110,Coihaique,CL,-45.5752,-72.0662,63.21,96,100,5.57,overcast clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,90,12.66,overcast clouds
112,Fukue,JP,32.6881,128.8419,73.9,75,10,9.62,clear sky
113,Kavieng,PG,-2.5744,150.7967,82.2,76,19,14.34,few clouds
114,Maceio,BR,-9.6658,-35.7353,81.84,78,75,16.11,broken clouds
115,Wuwei,CN,37.9281,102.6414,65.41,59,100,1.99,overcast clouds
116,Lagoa,PT,39.05,-27.9833,70.18,74,100,17.58,overcast clouds
117,Pisco,PE,-13.7,-76.2167,65.01,82,75,11.5,mist
118,Ibotirama,BR,-12.1853,-43.2206,93.94,27,55,4.65,broken clouds
119,Iqaluit,CA,63.7506,-68.5145,33.53,74,75,11.01,broken clouds
120,San Patricio,US,28.017,-97.5169,87.89,39,3,12.15,clear sky
121,Broome,US,42.2506,-75.833,67.69,62,57,3.0,broken clouds
122,Egvekinot,RU,66.3167,-179.1667,20.34,82,98,14.63,overcast clouds
123,Havelock,US,34.8791,-76.9013,78.03,71,40,9.42,scattered clouds
124,Vestmanna,FO,62.1564,-7.1664,43.72,81,90,8.05,overcast clouds
125,Baruun-Urt,MN,46.6806,113.2792,49.71,95,32,6.2,scattered clouds
126,Warkworth,NZ,-36.4,174.6667,54.41,91,9,6.38,clear sky
127,Alofi,NU,-19.0595,-169.9187,75.09,78,99,8.05,overcast clouds
128,Asyut,EG,27.181,31.1837,84.38,38,0,15.32,clear sky
129,Port-Gentil,GA,-0.7193,8.7815,75.16,100,40,8.05,scattered clouds
130,Kirakira,SB,-10.4544,161.9205,78.03,86,39,7.56,scattered clouds
131,Romilly-Sur-Seine,FR,48.5108,3.7263,65.52,61,0,1.34,clear sky
132,Grindavik,IS,63.8424,-22.4338,45.07,70,75,6.91,broken clouds
133,Bako,ET,5.7833,36.5667,66.24,76,100,4.25,overcast clouds
134,Kokopo,PG,-4.352,152.2633,76.73,85,51,7.34,broken clouds
135,Bredasdorp,ZA,-34.5322,20.0403,56.52,77,15,5.75,few clouds
136,Naberera,TZ,-4.2,36.9333,61.54,79,27,9.82,scattered clouds
137,Tsiroanomandidy,MG,-18.7667,46.0333,71.56,52,64,5.88,broken clouds
138,Takoradi,GH,4.8845,-1.7554,77.43,89,14,7.87,light rain
139,Kungurtug,RU,50.5994,97.5228,36.05,80,100,2.55,overcast clouds
140,Barrow,US,71.2906,-156.7887,24.82,80,40,5.75,scattered clouds
141,Abbeville,FR,50.1,1.8333,62.56,96,43,4.99,scattered clouds
142,Itoman,JP,26.1247,127.6694,78.82,78,20,9.22,few clouds
