City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Japura,ID,2021-09-21 00:40:24,-0.3167,102.35,77.92,90,79,2.98
68,Guerrero Negro,MX,2021-09-21 00:40:24,27.9769,-114.0611,74.03,62,0,13.53
69,Airai,TL,2021-09-21 00:40:25,-8.9266,125.4092,73.47,31,46,5.84
70,Sulit,PH,2021-09-21 00:40:25,6.2361,125.0206,80.64,70,99,3.06
71,Pafos,CY,2021-09-21 00:40:25,34.7667,32.4167,73.31,46,0,4.61
72,Provideniya,RU,2021-09-21 00:40:26,64.3833,-173.3,32.11,80,90,4.47
73,Kaitangata,NZ,2021-09-21 00:40:26,-46.2817,169.8464,54.73,70,100,2.01
74,Shiyan,CN,2021-09-21 00:40:26,32.6475,110.7781,73.83,67,0,6.55
75,Fortuna,US,2021-09-21 00:37:24,40.5982,-124.1573,71.94,59,20,9.22
76,Husavik,IS,2021-09-21 00:40:27,66.0449,-17.3389,40.91,86,100,11.41
77,Port-Gentil,GA,2021-09-21 00:40:27,-0.7193,8.7815,76.95,84,94,13.04
78,Iqaluit,CA,2021-09-21 00:40:27,63.7506,-68.5145,31.73,74,90,10.36
79,Atbasar,KZ,2021-09-21 00:40:27,51.8,68.3333,33.31,80,10,6.78
80,Saldanha,ZA,2021-09-21 00:40:28,-33.0117,17.9442,44.65,69,100,15.57
81,Washington,US,2021-09-21 00:38:07,47.5001,-120.5015,72.09,36,8,4.25
82,Upernavik,GL,2021-09-21 00:40:28,72.7868,-56.1549,25.56,81,87,3.0
83,Inongo,CD,2021-09-21 00:40:28,-1.95,18.2667,69.8,79,90,4.65
84,Port Macquarie,AU,2021-09-21 00:37:10,-31.4333,152.9167,62.56,39,31,15.61
85,Souillac,MU,2021-09-21 00:40:29,-20.5167,57.5167,68.38,68,20,14.97
86,Nanortalik,GL,2021-09-21 00:36:26,60.1432,-45.2371,37.33,71,2,12.97
87,Hays,US,2021-09-21 00:40:29,30.0502,-98.0336,93.54,35,7,8.12
88,Follonica,IT,2021-09-21 00:40:29,42.9263,10.7616,64.31,85,47,7.34
89,Havoysund,NO,2021-09-21 00:40:30,70.9963,24.6622,43.68,65,7,20.18
90,Shingu,JP,2021-09-21 00:40:30,33.7333,135.9833,77.99,80,99,9.91
91,Bajos De Haina,DO,2021-09-21 00:40:30,18.4154,-70.0332,78.76,87,12,10.67
92,Neka,IR,2021-09-21 00:40:30,36.6508,53.299,71.98,88,100,6.71
93,Barrow,US,2021-09-21 00:40:31,71.2906,-156.7887,33.82,64,90,14.97
94,Nemuro,JP,2021-09-21 00:40:31,43.3236,145.575,63.03,81,65,15.08
95,Saint-Philippe,RE,2021-09-21 00:40:31,-21.3585,55.7679,65.79,72,100,12.12
96,Broken Hill,AU,2021-09-21 00:40:32,-31.95,141.4333,49.71,46,40,21.85
97,Saint-Georges,GD,2021-09-21 00:40:32,12.0564,-61.7485,82.08,83,20,11.5
98,Cauquenes,CL,2021-09-21 00:40:32,-35.9671,-72.3225,48.58,63,0,5.32
99,Mankera,PK,2021-09-21 00:40:33,31.3866,71.4407,88.25,51,5,11.61
100,Dalvik,IS,2021-09-21 00:40:33,65.9702,-18.5286,40.93,90,100,2.66
101,Tasiilaq,GL,2021-09-21 00:40:33,65.6145,-37.6368,37.56,78,97,9.13
102,Port Alfred,ZA,2021-09-21 00:40:33,-33.5906,26.891,59.27,57,97,24.83
103,Bethel,US,2021-09-21 00:40:34,41.3712,-73.414,68.36,68,1,0.0
104,Georgetown,MY,2021-09-21 00:39:25,5.4112,100.3354,78.73,94,20,4.61
105,San Quintin,MX,2021-09-21 00:36:24,30.4833,-115.95,71.17,71,0,7.78
106,Severo-Kurilsk,RU,2021-09-21 00:40:34,50.6789,156.125,50.4,75,14,29.75
107,Leningradskiy,RU,2021-09-21 00:40:34,69.3833,178.4167,26.67,82,86,11.88
108,Olafsvik,IS,2021-09-21 00:40:35,64.8945,-23.7142,44.58,70,100,4.52
109,Jalu,LY,2021-09-21 00:40:35,29.0331,21.5482,84.0,24,0,8.68
110,Paka,MY,2021-09-21 00:40:35,4.6374,103.4368,78.73,94,40,0.0
111,Tautira,PF,2021-09-21 00:40:36,-17.7333,-149.15,84.22,72,18,13.27
112,Gurupa,BR,2021-09-21 00:40:36,-1.405,-51.64,77.22,81,96,6.46
113,Chadiza,ZM,2021-09-21 00:40:36,-14.0678,32.4392,59.63,33,0,2.98
114,Mascota,MX,2021-09-21 00:40:36,20.5167,-104.7833,71.31,97,69,2.53
115,Ostrovnoy,RU,2021-09-21 00:40:37,68.0531,39.5131,34.9,86,91,11.21
116,Mar Del Plata,AR,2021-09-21 00:38:29,-38.0023,-57.5575,47.93,78,0,14.18
117,Timizart,DZ,2021-09-21 00:40:37,36.8,4.2667,68.09,91,25,7.29
118,Mataura,NZ,2021-09-21 00:40:37,-46.1927,168.8643,52.59,77,100,4.59
119,Tuatapere,NZ,2021-09-21 00:40:38,-46.1333,167.6833,46.24,94,100,3.62
120,Mahebourg,MU,2021-09-21 00:40:38,-20.4081,57.7,68.29,68,20,14.97
121,Vila Franca Do Campo,PT,2021-09-21 00:40:38,37.7167,-25.4333,70.21,80,75,9.46
122,Lebu,CL,2021-09-21 00:40:38,-37.6167,-73.65,49.59,88,0,19.51
123,Mogadouro,PT,2021-09-21 00:40:39,41.3403,-6.7119,53.29,63,0,11.56
124,Honningsvag,NO,2021-09-21 00:40:39,70.9821,25.9704,42.24,69,40,32.48
125,Zambezi,ZM,2021-09-21 00:40:39,-13.5432,23.1047,63.07,26,1,4.12
126,Matay,EG,2021-09-21 00:40:39,28.419,30.7792,79.05,54,0,15.82
127,Te Anau,NZ,2021-09-21 00:40:40,-45.4167,167.7167,44.56,96,100,3.56
128,Zadar,HR,2021-09-21 00:40:40,44.1197,15.2422,56.01,94,75,3.44
129,Mombetsu,JP,2021-09-21 00:40:40,44.3525,143.3525,60.82,77,75,2.3
130,Halifax,CA,2021-09-21 00:35:57,44.6453,-63.5724,60.69,82,1,3.44
131,Warrnambool,AU,2021-09-21 00:40:41,-38.3833,142.4833,52.83,57,21,17.58
