City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Santa Lucia,ES,2021-09-22 20:31:28,27.9117,-15.5407,67.32,72,40,19.57
68,Okha,RU,2021-09-22 20:31:28,53.5739,142.9478,46.29,87,46,8.75
69,Tarata,BO,2021-09-22 20:31:29,-17.6167,-66.0167,69.22,40,98,4.07
70,Cape Town,ZA,2021-09-22 20:27:20,-33.9258,18.4232,65.12,82,0,3.44
71,Bowen,AU,2021-09-22 20:31:29,-20.0167,148.2333,46.62,70,80,10.18
72,Ilulissat,GL,2021-09-22 20:31:29,69.2167,-51.1,28.42,46,75,5.75
73,San Patricio,US,2021-09-22 20:31:30,28.017,-97.5169,88.21,21,31,13.87
74,Wanning,CN,2021-09-22 20:31:30,18.8003,110.3967,79.65,87,100,4.36
75,New Norfolk,AU,2021-09-22 20:31:30,-42.7826,147.0587,57.92,58,96,5.01
76,Tongliao,CN,2021-09-22 20:26:40,43.6125,122.2653,52.83,94,58,8.5
77,Kapit,MY,2021-09-22 20:31:31,2.0167,112.9333,72.75,99,98,1.88
78,Busselton,AU,2021-09-22 20:31:31,-33.65,115.3333,49.05,92,0,9.8
79,Codrington,AU,2021-09-22 20:31:31,-38.2667,141.9667,49.66,90,2,13.91
80,Tuktoyaktuk,CA,2021-09-22 20:31:32,69.4541,-133.0374,37.4,65,75,19.57
81,Jamestown,US,2021-09-22 20:30:29,42.097,-79.2353,74.84,85,90,11.01
82,Hobart,AU,2021-09-22 20:28:16,-42.8794,147.3294,58.26,58,75,11.01
83,Port Blair,IN,2021-09-22 20:31:32,11.6667,92.75,78.67,85,100,11.59
84,Kaitangata,NZ,2021-09-22 20:31:32,-46.2817,169.8464,48.99,60,3,5.86
85,Vicksburg,US,2021-09-22 20:29:39,32.3526,-90.8779,80.28,42,1,14.97
86,Castro,BR,2021-09-22 20:31:33,-24.7911,-50.0119,56.12,73,20,11.9
87,Kruisfontein,ZA,2021-09-22 20:31:33,-34.0033,24.7314,55.89,81,68,5.57
88,Tuatapere,NZ,2021-09-22 20:31:33,-46.1333,167.6833,43.83,68,12,4.03
89,Geraldton,AU,2021-09-22 20:31:17,-28.7667,114.6,48.61,66,0,8.05
90,Mana,GF,2021-09-22 20:31:34,5.6592,-53.7767,81.81,78,78,10.83
91,Rock Springs,US,2021-09-22 20:31:34,41.5875,-109.2029,73.24,17,1,4.0
92,Dikson,RU,2021-09-22 20:31:34,73.5069,80.5464,35.8,98,100,9.04
93,Mandera,KE,2021-09-22 20:31:34,3.9366,41.867,82.27,55,100,24.27
94,Qaanaaq,GL,2021-09-22 20:31:35,77.484,-69.3632,12.45,63,11,7.16
95,Bhimunipatnam,IN,2021-09-22 20:31:35,17.8833,83.4333,80.46,84,93,6.33
96,Roald,NO,2021-09-22 20:31:35,62.5833,6.1333,53.74,66,75,16.11
97,Garowe,SO,2021-09-22 20:31:35,8.4054,48.4845,77.23,62,2,25.21
98,Port Alfred,ZA,2021-09-22 20:31:37,-33.5906,26.891,61.02,82,5,22.41
99,Macamic,CA,2021-09-22 20:31:37,48.7502,-78.9996,48.43,57,100,11.88
100,Saint-Louis,SN,2021-09-22 20:31:37,16.3333,-15.0,91.74,35,48,18.81
101,Miandrivazo,MG,2021-09-22 20:31:37,-19.5167,45.4667,73.98,68,30,5.1
102,Xining,CN,2021-09-22 20:31:38,36.6167,101.7667,48.56,81,1,2.8
103,Northam,GB,2021-09-22 20:31:38,51.0333,-4.2167,61.39,89,11,6.51
104,Vardo,NO,2021-09-22 20:31:38,70.3705,31.1107,46.6,61,0,27.63
105,Hurghada,EG,2021-09-22 20:31:39,27.2574,33.8129,87.84,25,0,6.91
106,Talakan,RU,2021-09-22 20:31:39,50.3167,130.3667,42.15,78,0,3.09
107,Peski,RU,2021-09-22 20:31:39,55.2163,38.7626,45.19,95,100,5.12
108,Chau Doc,VN,2021-09-22 20:31:40,10.7,105.1167,78.57,82,100,4.97
109,Mandalgovi,MN,2021-09-22 20:31:40,45.7625,106.2708,48.36,58,100,15.88
110,Riwaka,NZ,2021-09-22 20:31:40,-41.0833,173.0,59.0,98,100,8.21
111,Bambous Virieux,MU,2021-09-22 20:31:40,-20.3428,57.7575,71.22,78,40,11.5
112,Thompson,CA,2021-09-22 20:30:11,55.7435,-97.8558,57.36,77,90,5.75
113,Coruripe,BR,2021-09-22 20:31:41,-10.1256,-36.1756,77.16,88,8,14.12
114,Burnie,AU,2021-09-22 20:31:41,-41.0667,145.9167,54.19,74,98,20.47
115,Chilca,PE,2021-09-22 20:31:41,-12.5211,-76.7372,67.84,83,100,3.04
116,Namibe,AO,2021-09-22 20:31:42,-15.1961,12.1522,63.45,85,18,4.03
117,Khatanga,RU,2021-09-22 20:31:42,71.9667,102.5,33.58,98,100,9.04
118,Daru,PG,2021-09-22 20:31:42,-9.0763,143.2092,76.19,87,100,19.15
119,Japura,ID,2021-09-22 20:31:42,-0.3167,102.35,73.42,97,96,2.51
120,Olafsvik,IS,2021-09-22 20:31:43,64.8945,-23.7142,42.35,67,7,7.9
